County,A10i,A21,B3B,incomegpnew,freq
Trans Nzoia,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,5
Mombasa,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",10
Nyamira,Female,Some secondary,Casual worker,"KSh 1 - 1,000",4
Bomet,Female,University completed ,Employed,Don't Know,1
Kilifi,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Kilifi,Male,None ,Casual worker,"KSh 10,001-20,000",1
Elgeyo-Marakwet,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Kakamega,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",4
Elgeyo-Marakwet,Male,Some primary ,Casual worker,"KSh 5,001 - 10,000",2
Baringo,Female,Some secondary,Casual worker,"KSh 1,001 - 3,000",5
Kwale,Female,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",1
Trans Nzoia,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Migori,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",6
Migori,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Kisii,Female,Some secondary,Employed,"KSh 3,001 - 5,000",2
Wajir,Male,None ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Embu,Male,University completed ,Casual worker,"KSh 10,001-20,000",1
Kiambu,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 50,001 - 100,000",1
Homabay,Female,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",4
Siaya,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Nyamira,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",12
Lamu,Male,Some primary ,Casual worker,"KSh 10,001-20,000",5
Baringo,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",2
Narok,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,2
Siaya,Female,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",4
Nyamira,Male,Secondary completed ,Employed,"KSh 10,001-20,000",3
Kakamega,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",16
Busia,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Trans Nzoia,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Meru,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Kajiado,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",4
Bungoma,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Kirinyaga,Female,Some technical training after secondary school,"Earning money from investments, e.g. shares, stocks","KSh 50,001 - 100,000",1
Kilifi,Male,Some secondary,Casual worker,"KSh 10,001-20,000",3
Nandi,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Nandi,Male,Some primary ,Casual worker,Don't Know,16
Meru,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",1
Nyeri,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Nyandarua,Female,None ,Money / support from family / friends / spouse,Don't Know,3
West Pokot,Male,Some technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nandi,Male,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Tana River,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Meru,Female,Some secondary,Casual worker,"KSh 3,001 - 5,000",2
Nyamira,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",8
Nyeri,Male,Completed technical training after secondary school,Running own business/Self employed,Don't Know,1
Taita-Taveta,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",2
Kilifi,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Kisii,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",5
Busia,Female,Some secondary,"Renting,  land, house/rooms, equipment","KSh 20,001 - 50,000",1
West Pokot,Male,None ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Siaya,Male,Primary completed,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Nakuru,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Machakos,Male,Some technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Kirinyaga,Female,University completed ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Samburu,Male,None ,Casual worker,"KSh 1,001 - 3,000",9
Kericho,Male,Primary completed,Running own business/Self employed,"KSh 1 - 1,000",1
Nyamira,Female,Some secondary,Casual worker,"KSh 1,001 - 3,000",5
Turkana,Female,Some secondary,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",1
Laikipia,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",4
Meru,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",6
Machakos,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Vihiga,Female,None ,Money / support from family / friends / spouse,Don't Know,3
Vihiga,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
West Pokot,Male,Some technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Kitui,Female,University completed ,Employed,"KSh 10,001-20,000",1
Wajir,Male,None ,Casual worker,"KSh 10,001-20,000",10
Tana River,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",7
Mombasa,Male,University completed ,Employed,"KSh 20,001 - 50,000",1
Elgeyo-Marakwet,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Machakos,Female,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",4
West Pokot,Male,Primary completed,Pension/Annuity,"KSh 5,001 - 10,000",1
Tharaka-Nithi,Male,University completed ,Casual worker,"KSh 20,001 - 50,000",1
Kitui,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Nakuru,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Bungoma,Female,Some primary ,Casual worker,"KSh 1 - 1,000",3
Nakuru,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Nyamira,Male,Some technical training after secondary school,Casual worker,"KSh 3,001 - 5,000",1
Murang'a,Female,Some primary ,Casual worker,"KSh 1 - 1,000",3
Kajiado,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",2
Migori,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",5
Turkana,Female,None ,Running own business/Self employed,"KSh 3,001 - 5,000",18
Embu,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Mombasa,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",10
Embu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Busia,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",4
Kericho,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 5,001 - 10,000",2
Nandi,Female,Some primary ,Money / support from family / friends / spouse,Don't Know,9
Nairobi City,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",9
Embu,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",2
Siaya,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Turkana,Male,None ,Running own business/Self employed,"KSh 3,001 - 5,000",14
Kisumu,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Elgeyo-Marakwet,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,2
Kirinyaga,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Laikipia,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Mombasa,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Lamu,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Tana River,Male,None ,Casual worker,"KSh 20,001 - 50,000",1
Homabay,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Vihiga,Female,Some university,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Embu,Male,None ,Money / support from family / friends / spouse,Don't Know,1
Kericho,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",5
Bomet,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,7
Kilifi,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",2
Kericho,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",10
Embu,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Meru,Female,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",3
Kisumu,Female,Some primary ,Employed,"KSh 3,001 - 5,000",1
Nyeri,Male,University completed ,Employed,"KSh 20,001 - 50,000",5
Kisii,Male,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",5
Garissa,Female,Some secondary,Money / support from family / friends / spouse,"KSh 10,001-20,000",4
Meru,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Machakos,Male,Completed technical training after secondary school,Casual worker,"KSh 10,001-20,000",9
Isiolo,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Mandera,Male,None ,Money / support from family / friends / spouse,"KSh 10,001-20,000",6
Nyeri,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Makueni,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",11
Isiolo,Female,Primary completed,Money / support from family / friends / spouse,Don't Know,2
Makueni,Male,Some primary ,Employed,"KSh 5,001 - 10,000",4
Machakos,Male,Secondary completed ,Pension/Annuity,"KSh 5,001 - 10,000",2
Nyandarua,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Nandi,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Kisumu,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kisumu,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",6
Kakamega,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",6
Marsabit,Male,None ,Casual worker,"KSh 1,001 - 3,000",3
Bungoma,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Laikipia,Male,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",2
Kericho,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",10
Vihiga,Female,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Tana River,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Elgeyo-Marakwet,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Vihiga,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",2
Nyamira,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",4
Nakuru,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",8
Nandi,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Kitui,Female,Some secondary,Employed,"KSh 5,001 - 10,000",1
Machakos,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",6
Narok,Male,Primary completed,Employed,"KSh 10,001-20,000",1
Homabay,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",5
Kajiado,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Meru,Male,University completed ,Employed,"KSh 20,001 - 50,000",1
Meru,Female,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",1
Trans Nzoia,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",1
Nakuru,Male,Secondary completed ,Casual worker,"KSh 20,001 - 50,000",3
Narok,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,6
Makueni,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",7
Kilifi,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",7
Kisii,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Kitui,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",15
Kitui,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Kirinyaga,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",12
Kajiado,Female,None ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Kisii,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",9
Meru,Male,None ,Casual worker,"KSh 1 - 1,000",2
Taita-Taveta,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Busia,Male,Some secondary,Casual worker,"KSh 10,001-20,000",1
Bomet,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",4
Nyeri,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",4
Meru,Male,Some secondary,Employed,"KSh 10,001-20,000",1
Homabay,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",11
Nairobi City,Male,University completed ,Running own business/Self employed,"KSh 20,001 - 50,000",2
Machakos,Male,University completed ,"Renting,  land, house/rooms, equipment",">KSh 100,000",1
Kwale,Male,Other (Specify) ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Baringo,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",9
Meru,Male,Primary completed,Casual worker,Don't Know,1
Busia,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",12
Garissa,Male,University completed ,Employed,"KSh 10,001-20,000",2
Kitui,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",3
Machakos,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",5
Kitui,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",2
Kitui,Female,Completed technical training after secondary school,Casual worker,"KSh 20,001 - 50,000",1
Samburu,Female,None ,Money / support from family / friends / spouse,Don't Know,4
Kajiado,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",2
Tana River,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,3
Kwale,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Uasin Gishu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Kakamega,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",7
Baringo,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Homabay,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Meru,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Elgeyo-Marakwet,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Kwale,Male,Some primary ,Casual worker,"KSh 1 - 1,000",1
Kitui,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",8
Mombasa,Male,Some technical training after secondary school,Money / support from family / friends / spouse,Don't Know,1
Nyamira,Female,Secondary completed ,Casual worker,"KSh 1 - 1,000",2
Siaya,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",1
Embu,Female,None ,Casual worker,Don't Know,1
Machakos,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 50,001 - 100,000",1
Nyamira,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Migori,Male,Completed technical training after secondary school,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Isiolo,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,1
Narok,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Uasin Gishu,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Nyamira,Male,University completed ,Casual worker,"KSh 5,001 - 10,000",1
Nyamira,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Tana River,Female,None ,Money / support from family / friends / spouse,Don't Know,15
Vihiga,Male,Secondary completed ,Casual worker,Don't Know,2
Vihiga,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,7
Narok,Male,Completed technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Laikipia,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Meru,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",2
Kiambu,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",7
Meru,Male,Some primary ,Employed,"KSh 3,001 - 5,000",1
Trans Nzoia,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Tana River,Male,University completed ,Employed,"KSh 20,001 - 50,000",1
Kilifi,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Taita-Taveta,Male,None ,Casual worker,"KSh 1,001 - 3,000",2
Machakos,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",4
Nakuru,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Nyandarua,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",3
Machakos,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",6
Vihiga,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Uasin Gishu,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Taita-Taveta,Male,Primary completed,Employed,"KSh 5,001 - 10,000",6
Kiambu,Female,Primary completed,Employed,"KSh 5,001 - 10,000",3
Nakuru,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,8
Uasin Gishu,Male,None ,Money from  NGO / Government,"KSh 1 - 1,000",1
Nyeri,Male,Some secondary,Casual worker,Don't Know,3
Tharaka-Nithi,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",3
Machakos,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",7
West Pokot,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",2
Bomet,Male,None ,Money from  NGO / Government,"KSh 5,001 - 10,000",1
Vihiga,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Samburu,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",2
Embu,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",3
Vihiga,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Siaya,Male,Completed technical training after secondary school,Pension/Annuity,"KSh 5,001 - 10,000",2
Migori,Female,Some secondary,Employed,"KSh 1,001 - 3,000",1
Laikipia,Male,Secondary completed ,Employed,"KSh 10,001-20,000",3
Kericho,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",7
Nakuru,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Marsabit,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Taita-Taveta,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",1
Kajiado,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",2
Nyandarua,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",5
Uasin Gishu,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Makueni,Male,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Nyeri,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,9
Migori,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",9
Meru,Female,Some primary ,Employed,"KSh 50,001 - 100,000",1
Nyeri,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Kisumu,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",3
Kericho,Male,University completed ,Casual worker,"KSh 5,001 - 10,000",1
Bomet,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Nyeri,Female,Secondary completed ,Employed,"KSh 5,001 - 10,000",7
Murang'a,Male,Secondary completed ,Employed,"KSh 3,001 - 5,000",1
Kisumu,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",1
Nyandarua,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Lamu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Homabay,Female,None ,Casual worker,"KSh 1,001 - 3,000",1
Wajir,Female,Some university,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Bomet,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",3
Laikipia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Kericho,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,2
Nyamira,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",9
Meru,Female,University completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Nyamira,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",3
Siaya,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",6
Marsabit,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,3
Kisii,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Bungoma,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,18
Kitui,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",2
Vihiga,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,7
Machakos,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",7
Nairobi City,Female,Some technical training after secondary school,Employed,"KSh 20,001 - 50,000",3
Trans Nzoia,Female,None ,Casual worker,"KSh 3,001 - 5,000",2
Kirinyaga,Female,None ,Casual worker,"KSh 1 - 1,000",1
Uasin Gishu,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",6
Kericho,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Kirinyaga,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kirinyaga,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",2
Kajiado,Male,Some primary ,Money / support from family / friends / spouse,Refused to Answer,1
Makueni,Female,None ,Casual worker,"KSh 1,001 - 3,000",1
Nairobi City,Male,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kirinyaga,Male,None ,Casual worker,"KSh 3,001 - 5,000",2
Kisii,Male,Some secondary,Money / support from family / friends / spouse,"KSh 10,001-20,000",1
Kiambu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Lamu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Vihiga,Female,University completed ,Casual worker,Don't Know,1
Murang'a,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Kericho,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",13
Migori,Female,Some university,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Turkana,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Nakuru,Male,Some primary ,Casual worker,Don't Know,2
Homabay,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",9
Elgeyo-Marakwet,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Embu,Male,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",3
Kisii,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Nyandarua,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",7
Nandi,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Embu,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",5
Siaya,Female,Some primary ,Casual worker,"KSh 20,001 - 50,000",1
Kilifi,Female,Secondary completed ,Casual worker,"KSh 10,001-20,000",2
Kakamega,Male,None ,Casual worker,"KSh 1,001 - 3,000",1
Kajiado,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Lamu,Male,Some primary ,Casual worker,"KSh 5,001 - 10,000",5
Homabay,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",4
Bungoma,Female,Some primary ,Casual worker,Don't Know,5
Kitui,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",12
Narok,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nakuru,Male,Some primary ,Money / support from family / friends / spouse,Refused to Answer,1
Machakos,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",9
Narok,Male,Some secondary,Casual worker,"KSh 10,001-20,000",3
Marsabit,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
West Pokot,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",2
Murang'a,Female,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Kajiado,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Kakamega,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",1
Nyamira,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Baringo,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",7
Nakuru,Male,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Laikipia,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",5
Kisii,Female,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Wajir,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",11
Kilifi,Male,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",6
Narok,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Tharaka-Nithi,Male,Some primary ,Employed,"KSh 5,001 - 10,000",2
Trans Nzoia,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nyamira,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Siaya,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",2
Homabay,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Meru,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Narok,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",2
Homabay,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Kilifi,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",5
