col_names,col_labels,col_types,as_type,is_type
E3__5,Still had debt to pay off,double,as.double,is.double
E3__6,No guarantor,double,as.double,is.double
E3__7,Bad credit history,double,as.double,is.double
E3__8,No credit history,double,as.double,is.double
E3__9,Income is low and unable to repay,double,as.double,is.double
E3__10,Project is too risky,double,as.double,is.double
E3__11,Savings too low,double,as.double,is.double
E3__12,Was not given a reason,double,as.double,is.double
E3__13,Negative listing by CRB,double,as.double,is.double
E3__14,Discrimination (Gender/culture,double,as.double,is.double
E3__15,Other (SPECIFY),double,as.double,is.double
E3__16,No money to loan out,numeric,as.numeric,is.numeric
E3__17,Not qualified/no/inadequate documentation,numeric,as.numeric,is.numeric
E3__18,Members defaulting/not cleared loans,numeric,as.numeric,is.numeric
E3__19,Loan limit,numeric,as.numeric,is.numeric
E3__98,Don't know(DO NOT READ OUT),double,as.double,is.double
E3__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
E1iA,Number of Personal loan from a bank/ business,double,as.double,is.double
E1iiA,Number of outstanding Personal loan from a bank/ business,double,as.double,is.double
E1iiiA,MAIN reason for taking Personal loan from a bank/ business,factor,as.factor,is.factor
E1ivA,E1ivA.Collateral / security for Personal loan from a bank/ business,factor,as.factor,is.factor
E1vA,Frequency of paying - Personal loan from a bank/ business,factor,as.factor,is.factor
E1viA,Payments ways of Personal loan from a bank/ business,factor,as.factor,is.factor
E1viiA,Amount of  Personal loan from a bank/ business,double,as.double,is.double
E1viiiA,time when borrowed Personal loan from a bank/ business,factor,as.factor,is.factor
E1ixA,When expected to finish repaying - Personal loan from a bank/ business,factor,as.factor,is.factor
E1xA,Amount outstanding -  Overdraft,double,as.double,is.double
E1iB,"Number of Mobile bank (e.g. MShwari, KCB MPesa) loans",double,as.double,is.double
E1iiB,"Number of outstanding Mobile bank (e.g. MShwari, KCB MPesa) loan",double,as.double,is.double
E1iiiB,"MAIN reason for taking loan - Mobile bank (e.g. MShwari, KCB MPesa)",factor,as.factor,is.factor
E1vB,"Frequency of paying -  Mobile bank (e.g. MShwari, KCB MPesa)",factor,as.factor,is.factor
E1viiB,"Amount borrowed - Mobile bank (e.g. MShwari, KCB MPesa, MCoop Cash) loan",double,as.double,is.double
E1viiiB,E1viiiB.When did you borrow - Loan from Mobile bank,factor,as.factor,is.factor
E1ixB,When expected to finish repaying- Mobile bank,factor,as.factor,is.factor
E1xB,"Amount outstanding - Mobile bank (e.g. MShwari, KCB MPesa, MCoop Cash)",double,as.double,is.double
E1iC,Sacco (Savings and Credit Cooperative Society),double,as.double,is.double
E1iiC,Number of outstanding Sacco (Savings and Credit Cooperative Society),double,as.double,is.double
E1iiiC,MAIN reason for taking loan - Loan at a Sacco,factor,as.factor,is.factor
E1ivC,Collateral / security for Sacco,factor,as.factor,is.factor
E1vC,Frequency of paying -  Sacco (Savings and Credit Cooperative Society) loan,factor,as.factor,is.factor
E1viC,Ways of repayment for Loan from Sacco,factor,as.factor,is.factor
E1viiC,Amount borrowed - Loan from Sacco,double,as.double,is.double
E1viiiC,E1viiiC.When did you borrow - Loan from Sacco,factor,as.factor,is.factor
E1ixC,When expected to finish - Sacco,factor,as.factor,is.factor
E1xC,Amount outstanding -  Sacco (Savings and Credit Cooperative Society),double,as.double,is.double
E1iD,Microfinance institution,double,as.double,is.double
E1iiD,Number of outstanding Microfinance institution,double,as.double,is.double
E1iiiD,MAIN reason for taking loan -  Loan from a microfinance institution,factor,as.factor,is.factor
E1ivD,E1ivD.Collateral / security for -  Microfinance institution loan,factor,as.factor,is.factor
E1vD,Frequency of paying -  Loan from Microfinance institution,factor,as.factor,is.factor
E1viD,Ways of repayment for Loan from Microfinance institution,factor,as.factor,is.factor
E1viiD,Amount borrowed - Loan from Microfinance institution,double,as.double,is.double
E1viiiD,E1viiiD.When did you borrow - Loan from Microfinance institution,factor,as.factor,is.factor
E1ixD,When expected to finish - Microfinance institution,factor,as.factor,is.factor
E1xD,Amount outstanding -  Microfinance institution,double,as.double,is.double
E1iE,Moneylender/Shylock,double,as.double,is.double
E1iiE,Number of outstanding Moneylender/Shylock,double,as.double,is.double
E1iiiE,MAIN reason for taking loan -  Loan from Moneylender/Shylock,factor,as.factor,is.factor
E1ivE,Collateral / security for -  Moneylender/Shylock loan,factor,as.factor,is.factor
E1vE,Frequency of paying - Loan from Moneylender/Shylock,factor,as.factor,is.factor
E1viE,Ways of repayment for Moneylender/Shylock,factor,as.factor,is.factor
E1viiE,Amount borrowed - Loan from Moneylender/Shylock,double,as.double,is.double
E1viiiE,E1viiiE.When did you borrow - Loan from Moneylender/Shylock,factor,as.factor,is.factor
E1ixE,When expected to finish - Moneylender/Shylock,factor,as.factor,is.factor
E1xE,Amount outstanding -  Moneylender/Shylock,double,as.double,is.double
E1iF,Group/chama,double,as.double,is.double
E1iiF,Number of outstanding loans - Group/chama,double,as.double,is.double
E1iiiF,MAIN reason for taking loan -  Loan from Group/chama,factor,as.factor,is.factor
E1ivF,E1ivF.Collateral / security for -   Group/chama loan,factor,as.factor,is.factor
E1vF,Frequency of paying - Loan from Group/chama,factor,as.factor,is.factor
E1viF,Ways of repayment for Loan from Group/chama,factor,as.factor,is.factor
E1viiF,Amount borrowed -Loan from Group/chama,double,as.double,is.double
E1viiiF,E1viiiF.When did you borrow - Loan from Group/chama,factor,as.factor,is.factor
E1ixF,When expected to finish - Group/chama,factor,as.factor,is.factor
E1xF,Amount outstanding -  Group/chama,double,as.double,is.double
E1iG,"Government institution for education, agriculture or development (e.g. HELB, Agr",double,as.double,is.double
E1iiG,Number of outstanding loan - Government institution for education,double,as.double,is.double
E1iiiG,MAIN reason for taking loan - from Government institution for education,factor,as.factor,is.factor
E1vG,Frequency of paying - Loan from Government inst,factor,as.factor,is.factor
E1viG,Ways of repayment for Loan from Government institution,factor,as.factor,is.factor
E1viiG,Amount borrowed - Loan from Government institution for education),double,as.double,is.double
E1viiiG,E1viiiH.When did you borrow - Loan from Government institution for education,factor,as.factor,is.factor
E1ixG,When expected to finish - Government inst,factor,as.factor,is.factor
E1xG,Amount outstanding -  Government institution for education,double,as.double,is.double
E1iH,Loan from Employer,double,as.double,is.double
E1iiH,Number of outstanding loans -  Loan from Employer,double,as.double,is.double
E1iiiH,MAIN reason for taking loan - Loan from Employer,factor,as.factor,is.factor
E1ivH,E1ivH.Collateral / security for -   Loan from Employer,factor,as.factor,is.factor
E1vH,Frequency of paying - Loan from Employer,factor,as.factor,is.factor
E1viH,Ways of repayment for Loan from Employer,factor,as.factor,is.factor
E1viiH,Amount borrowed - Loan from Employer,double,as.double,is.double
E1viiiH,E1viiiH.When did you borrow - Loan from Employer,factor,as.factor,is.factor
E1ixH,When expected to finish - Employer,factor,as.factor,is.factor
E1xH,Amount outstanding -  Employer,double,as.double,is.double
E1iI,Loan from family/friend/neighbour,double,as.double,is.double
E1iiI,Number of outstanding loans - Loan from family/friend/neighbour,double,as.double,is.double
E1iiiI,MAIN reason for taking loan - Loan from family/friend/neighbour,factor,as.factor,is.factor
E1vI,Frequency of paying -  Loan from Family / friend / neighbour,factor,as.factor,is.factor
E1viI,Ways of repayment for Loan from Family / friend / neighbour,factor,as.factor,is.factor
E1viiI,Amount borrowed - Loan from Family / friend / neighbour,double,as.double,is.double
E1viiiI,E1viiiI.When did you borrow - Loan from Family / friend / neighbour,factor,as.factor,is.factor
E1ixI,When expected to finish - Family / friend / neighbour,factor,as.factor,is.factor
E1xI,Amount outstanding -  Family / friend / neighbour,double,as.double,is.double
E1iJ,Cash loan from shopkeeper,double,as.double,is.double
E1iiJ,Number of outstanding loans - Cash loan from shopkeeper,double,as.double,is.double
E1iiiJ,MAIN reason for taking loan - Cash loan from shopkeeper,factor,as.factor,is.factor
E1iiiJi,Other reason Cash loan from shopkeeper,character,as.character,is.character
E1vJ,Frequency of paying -  Loan from Cash from Shopkeeper,factor,as.factor,is.factor
E1vJi,Other frequency of  repayment for Loan from Cash from Shopkeeper,character,as.character,is.character
E1viJ,Ways of repayment for Cash from shop keeper,factor,as.factor,is.factor
E1viJi,Other repayment ways for Cash from Shopkeeper,character,as.character,is.character
E1viiJ,Amount borrowed - Cash from Shopkeeper,double,as.double,is.double
E1viiiJ,When did you borrow - Loan from Cash from Shopkeeper,factor,as.factor,is.factor
E1ixJ,When expected to finish - Cash from Shopkeeper,factor,as.factor,is.factor
E1xJ,Amount outstanding -  Cash from Shopkeeper,double,as.double,is.double
E1iiiK,MAIN reason for taking loan - products on credit from a shopkeeper,factor,as.factor,is.factor
E1iiiKi,Other main reason taking products on credit from a shopkeeper,character,as.character,is.character
E1vK,Frequency of paying -goods and services on credit from a shopkeeper,factor,as.factor,is.factor
E1vKi,Other repayments frequency taking products on credit from a shopkeeper,character,as.character,is.character
E1viK,E1viK Ways of repayment for taking products on credit from a shopkeeper,factor,as.factor,is.factor
E1viKi,Other frequency of  repayment taking products on credit from a shopkeeper,character,as.character,is.character
E1viiK,Amount borrowed - Taking goods and services on credit from a shopkeeper,double,as.double,is.double
E1viiiK,E1viiiK.When did you borrow - products on credit from a shopkeeper,factor,as.factor,is.factor
E1ixK,When expected to finish - taking products  on credit from a shopkeeper,factor,as.factor,is.factor
E1xK,Amount outstanding - Taking goods and services on credit from a shopkeeper,double,as.double,is.double
E1iL,"Digital loans app (e.g. Tala, Branch, Utunzi, Haraka Loans)",double,as.double,is.double
E1iiL,Number of outstanding loans -  Digital loans app (e.g. Tala),double,as.double,is.double
E1iiiL,MAIN reason for taking loan -Digital loans app (e.g. Tala),factor,as.factor,is.factor
E1iiiLi,"Other Digital loans app (e.g. Tala, Branch, Utunzi, Haraka Loans)",character,as.character,is.character
E1vL,Frequency of paying -  Digital loans app (e.g. Tala),factor,as.factor,is.factor
E1vLi,"Other frequency of  repayment for Digital loans app (e.g. Tala, Branch)",character,as.character,is.character
E1viL,"Ways of repayment for Digital loans app (e.g. Tala, Branch)",factor,as.factor,is.factor
E1viLi,Other ways repayment for Digital loans app,character,as.character,is.character
E1viiL,Amount borrowed - Digital loans app (e.g. Tala),double,as.double,is.double
E1viiiL,E1viiiL.When did you borrow Digital loans app (e.g. Tala),factor,as.factor,is.factor
E1ixL,When expected to finish -Digital loans app (e.g. Tala),factor,as.factor,is.factor
E1xL,"Amount outstanding -  Digital loans app (e.g. Tala, Branch)",double,as.double,is.double
E1iiiM,MAIN reason for taking loan - Loan/credits from buyer of your harvest,factor,as.factor,is.factor
E1iiiMi,"Other Loan/credits from buyer of your harvest, (e.g. tobacco)",character,as.character,is.character
E1vM,Frequency of paying -  Loan/credits from buyer of your harvest,factor,as.factor,is.factor
E1vMi,Other frequency of  repayment for Loan/credits from buyer of your harvest,character,as.character,is.character
E1viM,Ways of repayment for Loan/credits from buyer of your harvest,factor,as.factor,is.factor
E1viMi,Other ways  your repayment  Loan/credits from buyer of your harvest,character,as.character,is.character
E1viiM,Amount borrowed - Loan/credits from buyer of your harvest,double,as.double,is.double
E1viiiM,E1viiiQ.When did you borrow - Loan/credits from buyer of your harvest,factor,as.factor,is.factor
E1ixM,When expected to finish - Loan/credits from buyer of your harvest,factor,as.factor,is.factor
E1xM,Amount outstanding -  Loan/credits from buyer of your harvest,double,as.double,is.double
E1iN,"Hire purchase (e.g. A.R.T., Amedo, Kenya Credit Traders)",double,as.double,is.double
E1iiN,"Number of outstanding loans - Hire purchase (e.g. A.R.T., Amedo)",double,as.double,is.double
E1iiiN,"MAIN reason for taking loan - Hire purchase (e.g. A.R.T., Amedo)",factor,as.factor,is.factor
E1iiiNi,"Other Hire purchase (e.g. A.R.T., Amedo, Kenya Credit Traders)",character,as.character,is.character
E1vN,"Frequency of paying - Hire purchase (e.g. A.R.T., Amedo)",factor,as.factor,is.factor
E1vNi,"Other frequency of  repayment for Hire purchase (e.g. A.R.T., Amedo)",character,as.character,is.character
E1viN,"Ways of repayment for Hire purchase (e.g. A.R.T., Amedo)",factor,as.factor,is.factor
E1viNi,Other way of repayment for Hire purchase loan,character,as.character,is.character
E1viiN,Amount borrowed - Hire purchase,double,as.double,is.double
E1viiiN,When did you borrow - Hire purchase (e.g. A.R.T),factor,as.factor,is.factor
E1ixN,"When expected to finish - Hire purchase (e.g. A.R.T., Amedo)",factor,as.factor,is.factor
E1xN,"Amount outstanding -  Hire purchase (e.g. A.R.T., Amedo)",double,as.double,is.double
E1iO,"Bank/building society or Sacco (mortgage) to buy/build a house, or to buy land",double,as.double,is.double
E1iiO,Number of outstanding loans - Loan from Insurance,double,as.double,is.double
E1iiiO,MAIN reason for taking loan - Loan from Insurance,factor,as.factor,is.factor
E1iiiOi,Other Loan from Insurance,character,as.character,is.character
E1ivO,E1ivO.Collateral / security for -   Loan from Insurance,factor,as.factor,is.factor
E1ivOi,E1ivOi.Other collateral / security for   Loan from Insurance,character,as.character,is.character
E1vO,Frequency of paying - Loan from Insurance,factor,as.factor,is.factor
E1vOi,Other frequency of  repayment for Loan from Insurance,character,as.character,is.character
E1viO,Ways of repayment for Loan from Insurance,factor,as.factor,is.factor
E1viOi,Other Loan from Insurance,character,as.character,is.character
E1viiO,Amount borrowed - Loan from Insurance,double,as.double,is.double
E1viiiO,When did you borrow - Loan from Insurance,factor,as.factor,is.factor
E1ixO,When expected to finish - Loan from Insurance,factor,as.factor,is.factor
E1xO,Amount outstanding -  Loan from Insurance,double,as.double,is.double
E1iP,Government or government related institution to buy a house or land,double,as.double,is.double
E1iiP,Number of outstanding loans -  Govt or governmentrelated institution,double,as.double,is.double
E1iiiP,MAIN reason for taking loan - Government or govt related ins,factor,as.factor,is.factor
E1iiiPi,Other Government or govt related institution to buy a house or land,character,as.character,is.character
E1ivP,E1ivP.Collateral / security for -   Government or govt related inst loan,factor,as.factor,is.factor
E1ivPi,E1ivPi.Other collateral / security for   Government or govt related inst,character,as.character,is.character
E1vP,Frequency of paying -  Government or government related inst,factor,as.factor,is.factor
E1vPi,Other frequency of  repayment for Government or govt related ins,character,as.character,is.character
E1viP,Ways of repayment for Government or government related inst loan,factor,as.factor,is.factor
E1viPi,Other way of repayment for Government or government related inst loan,character,as.character,is.character
E1viiP,Amount borrowed - Loan from Government or government related inst,double,as.double,is.double
E1viiiP,E1viiiP.When did you borrow - Loan from Government or governmentrelated inst,factor,as.factor,is.factor
E1ixP,When expected to finish - Loan from Insurance,factor,as.factor,is.factor
E1xP,Amount outstanding -  Government or governmentrelated inst,double,as.double,is.double
E1iQ,Overdraft,double,as.double,is.double
E1iiQ,Number of outstanding loans - Overdraft,double,as.double,is.double
E1iiiQ,MAIN reason for taking loan - Overdraft,factor,as.factor,is.factor
E1iiiQi,Other Overdraft,character,as.character,is.character
E1vQ,Frequency of paying - Overdraft,factor,as.factor,is.factor
E1vQi,Other frequency of  repayment for an  Overdraft,character,as.character,is.character
E1viQ,Ways of repayment for Overdraft,factor,as.factor,is.factor
E1viQi,Other way of repayment for Other Overdraft loan,character,as.character,is.character
E1viiQ,Amount borrowed - Overdraft,double,as.double,is.double
E1viiiQ,E1viiiQ.When did you borrow - Overdraft,factor,as.factor,is.factor
E1ixQ,When expected to finish - Overdraft,factor,as.factor,is.factor
E1xQ,Amount outstanding -  Overdraft,double,as.double,is.double
E1iR,Mobile money loan provider e.g Fuliza,double,as.double,is.double
E1iiR,Number of outstanding loans -  Mobile money loan provider e.g Fuliza,double,as.double,is.double
E1iiiR,MAIN reason for taking loan - Mobile money loan provider e.g Fuliza,factor,as.factor,is.factor
E1iiiRi,Other Mobile money loan provider e.g Fuliza,character,as.character,is.character
E1viiR,Amount borrowed - Mobile money loan provider e.g Fuliza,double,as.double,is.double
E1viiiR,E1viiiR.When did you borrow - Mobile money loan provider e.g Fuliza,factor,as.factor,is.factor
E1ixR,When expected to finish - Mobile money loan provider e.g Fuliza,factor,as.factor,is.factor
E1xR,"Amount outstanding - Mobile bank (e.g. MShwari, KCB MPesa, MCoop Cash)",double,as.double,is.double
E1iiiS,MAIN reason for taking loan - Credit Card,factor,as.factor,is.factor
E1iiiSi,Other Credit Card,character,as.character,is.character
E1vS,Frequency of paying - Credit Card,factor,as.factor,is.factor
E1vSi,other Credit Card,character,as.character,is.character
E1viS,Ways of repayment for Credit Card loan,factor,as.factor,is.factor
E1viSi,Other ways of repayment for Other Credit Card,character,as.character,is.character
E1viiAS,Amount borrowed Credit Card,double,as.double,is.double
E1viiiS,Credit Card,factor,as.factor,is.factor
E1ixS,When expected to finish - Credit Card,factor,as.factor,is.factor
E1xS,Amount outstanding -  Overdraft,double,as.double,is.double
E1_ii1,Loan Features,factor,as.factor,is.factor
E1_ii2,Loan Features,factor,as.factor,is.factor
E1_2,loan restructuring/negotiation?,factor,as.factor,is.factor
E1_3,How long was the restructuring,factor,as.factor,is.factor
E2A,Amount of Repayment,factor,as.factor,is.factor
E2B1,E2B1 Ease of Loan Repayment,factor,as.factor,is.factor
E2B2,Used savings to repay the loan,factor,as.factor,is.factor
E2B3,Sold / gave assets or belongings to repay the loan,factor,as.factor,is.factor
E2B4,Reduced expenditures on food products to repay the loan,factor,as.factor,is.factor
E2B5,Reduced expenditures on nonfood products to repay the loan,factor,as.factor,is.factor
E2B6,Started a business/worked more hours,factor,as.factor,is.factor
E2Ci__1,Didn't pay at all,double,as.double,is.double
E2Ci__2,Paid late,double,as.double,is.double
E2Ci__3,Missed a payment,double,as.double,is.double
E2Ci__4,Paid less,double,as.double,is.double
E2Ci__5,Never paid late/less or missed a payment,double,as.double,is.double
E2Ci__98,Don’t know (DO NOT READ OUT),double,as.double,is.double
E2Ci__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
E2Cii,Number of Times Defaulted,factor,as.factor,is.factor
E2D__1,Loan from a bank/MFB,double,as.double,is.double
E2D__2,"Loan from mobile banking (e.g. Mshwari, KCB MPesa, MCoop, Eazzy Loan, Timiza, HF Whizz)",double,as.double,is.double
E2D__3,Loan at a Sacco / Savings and Credit Cooperative society,double,as.double,is.double
E2D__4,Loan from insurance company,double,as.double,is.double
E2D__5,Loan from a microfinance institution,double,as.double,is.double
E2D__6,"Loan from Shylocks / Loan Sharks / Money Lenders / Money Merchants that are not from your phone (e.g. Platinum, Ngao, etc",double,as.double,is.double
E2D__7,Loan from a group/chama,double,as.double,is.double
E2D__8,"Loan from a government institution for education, agriculture or a development loan (e.g. HELB, Agricultural Finance Corporation, Youth Fund, Women Fund)",double,as.double,is.double
E2D__9,Loan from an employer,double,as.double,is.double
E2D__10,Loan from family/friend/neighbour,double,as.double,is.double
E2D__11,Cash loan from shopkeeper,double,as.double,is.double
E2D__12,Taking goods and services on credit from a shopkeeper,double,as.double,is.double
E2D__13,"Digital loans that you get through the phone that you download through apps (e.g. Branch, Tala, Utunzi, KopaCredo, Haraka loans, etc.)",double,as.double,is.double
E2D__14,"Loan / credits from buyer of your harvest / supplier of agricultural inputs (e.g. coffee, tea, sugarcane, tobacco, vegetables)",double,as.double,is.double
E2D__15,"Hire purchase (e.g. KuKopesha, Diamond Trust, Kenya Credit Traders (KCT), Synergy, One Africa Capital, Tuskys)",double,as.double,is.double
E2D__16,"Loan to buy/build a house (mortgage), or to buy land from a bank or SACCO",double,as.double,is.double
E2D__17,Bank/ Micro finance bank Overdraft,double,as.double,is.double
E2D__18,Credit cards,double,as.double,is.double
E2D__19,Loans from mobile money providers e.g fuliza,double,as.double,is.double
E2D__20,Other (SPECIFY),double,as.double,is.double
E2D__98,Don’t know (DO NOT READ OUT),double,as.double,is.double
E2D__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
E2Di,Loans Defaulted - other,character,as.character,is.character
E2E,Reasons for Default,factor,as.factor,is.factor
E2Ei,Reasons for Default - Other,character,as.character,is.character
E2F__1,An extra or rollover fee,double,as.double,is.double
E2F__2,Reduction in future loan limit,double,as.double,is.double
E2F__3,Blacklisted at credit bureau,double,as.double,is.double
E2F__4,Denied access to future loan with the same lender,double,as.double,is.double
E2F__5,Denied access to future loan with another lender,double,as.double,is.double
E2F__6,Legal prosecution,double,as.double,is.double
E2F__7,"Confiscation of property, fines or other penalties",double,as.double,is.double
E2F__8,Unable to join other group,double,as.double,is.double
E2F__9,"Social consequences (e.g. lost a friendship, hurt reputation, had to move from my community, brought shame to myself or my community)",double,as.double,is.double
E2F__10,Lender agreed to give me more time to re-pay,double,as.double,is.double
E2F__11,Have not experienced any negative consequences,double,as.double,is.double
E2F__12,Loss of savings,double,as.double,is.double
E2F__13,Other (SPECIFY),double,as.double,is.double
E2F__14,never happened,numeric,as.numeric,is.numeric
E2F__15,power rationed,numeric,as.numeric,is.numeric
E2F__16,Threatening messages and calls,numeric,as.numeric,is.numeric
E2F__98,Don’t know (DO NOT READ OUT),double,as.double,is.double
E2F__99,Refused to Answer  (DO NOT READ OUT),double,as.double,is.double
E2Fi,Default Consequences - Other,character,as.character,is.character
E3A__1,Bank/MFB,double,as.double,is.double
E3A__2,Sacco,double,as.double,is.double
E3A__3,MFI,double,as.double,is.double
E3A__4,Digital loans apps providers,double,as.double,is.double
E3A__5,Shylock/Money merchants,double,as.double,is.double
E3A__6,"Government e.g. Uwezo,",double,as.double,is.double
E3B__1,Bank/MFB,double,as.double,is.double
E3B__2,Sacco,double,as.double,is.double
E3B__3,MFI,double,as.double,is.double
E3B__4,Digital loans apps providers,double,as.double,is.double
E3B__5,Shylock/Money merchants,double,as.double,is.double
E3B__6,"Government e.g. Uwezo,",double,as.double,is.double
F1__1,Land,double,as.double,is.double
F1__2,Livestock,double,as.double,is.double
F1__3,Jewellery,double,as.double,is.double
F2__1,There’s nowhere to save my money,double,as.double,is.double
F2__2,I don’t need to save,double,as.double,is.double
F2__3,Don’t understand how to save,double,as.double,is.double
F2__4,You need an ID and/or a referee to save,double,as.double,is.double
F2__5,I use my money for investments not for savings,double,as.double,is.double
F2__6,I can sell an asset/something (e.g. livestock) when I need to,double,as.double,is.double
F2__7,I only save when I need to,double,as.double,is.double
F2__8,Too many fees / too expensive,double,as.double,is.double
F2__9,Do not want to keep a minimum balance,double,as.double,is.double
F2__10,Requires a regular income,double,as.double,is.double
F2__11,I don't have enough money to save,double,as.double,is.double
F2__12,I don't trust finacial institutions/ afraid to lose money,double,as.double,is.double
F2__13,Other (SPECIFY),double,as.double,is.double
F2__14,Student,numeric,as.numeric,is.numeric
F2__98,Don’t know  (DO NOT READ OUT),double,as.double,is.double
F2__99,Refused to Answer   (DO NOT READ OUT),double,as.double,is.double
F2i,Why Not Currently Saving-other,character,as.character,is.character
F3__1,"For emergencies such as burial, medical",double,as.double,is.double
F3__2,For education for myself or others,double,as.double,is.double
F3__3,To meet day to day household needs,double,as.double,is.double
F3__4,"To expand my business / invest in machinery, equipment for business",double,as.double,is.double
F3__5,Start new business,double,as.double,is.double
F3__6,To invest in premise for my business,double,as.double,is.double
F3__7,To invest in another person's business,double,as.double,is.double
F3__8,To purchase land,double,as.double,is.double
F3__9,To purchase or build a house,double,as.double,is.double
F3__10,To improve a house,double,as.double,is.double
F3__11,"For personal reasons such as new clothes, shoes",double,as.double,is.double
F3__12,To acquire household goods,double,as.double,is.double
F3__13,"For social reasons (e.g. wedding, bride price, holiday)",double,as.double,is.double
F3__14,To buy a car or motorcycle,double,as.double,is.double
F3__15,To purchase livestock,double,as.double,is.double
F3__16,"To purchase agricultural inputs (e.g. seeds, fertiliser, insemination)",double,as.double,is.double
F3__17,"For agricultural improvements (e.g. irrigation, dam, fencing, preparing land)",double,as.double,is.double
F3__18,"To purchase agricultural implements (e.g. plough, hoe, tractor, things for the farm)",double,as.double,is.double
F3__19,To pay for farm labour,double,as.double,is.double
F3__20,To transport farm produce to the market,double,as.double,is.double
F3__21,"For fishing equipment (e.g. boats, nets, engine)",double,as.double,is.double
F3__22,For later in life/ For old age/retirement,double,as.double,is.double
F3__23,To leave something for my children,double,as.double,is.double
F3__24,Other (SPECIFY),double,as.double,is.double
F3__98,Don’t know (DO NOT READ OUT),double,as.double,is.double
F3__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
F3i,Reason Saving,character,as.character,is.character
F1A,Savings Product Code,factor,as.factor,is.factor
F1B,Savings Features,factor,as.factor,is.factor
F1Bi_a,Savings Features,character,as.character,is.character
F2A__1,Green bonds,double,as.double,is.double
F2A__2,Treasury bills/bonds,double,as.double,is.double
F2A__3,MAkiba,double,as.double,is.double
F2A__4,"Other capital market products e.g unit trusts, derivatives, shares etc",double,as.double,is.double
F2B,Access to Capital Markets,factor,as.factor,is.factor
F2Bi,Access to Capital Markets - Other,character,as.character,is.character
F2C__1,Minimal entry requirement of Kshs 3000,double,as.double,is.double
F2C__2,Guarantee of untaxed returns,double,as.double,is.double
F2C__3,Ease of purchase of the bond using mobile phone,double,as.double,is.double
F2C__4,I was able to get all the information I needed about the bond in good time,double,as.double,is.double
F2C__5,I was guaranteed to get my cash in time once the bond is sold,double,as.double,is.double
F2C__6,Others,double,as.double,is.double
F2Ci,Other reason for investing in MAkiba Digital bond,character,as.character,is.character
F2D__1,I do not have the kind of money required to invest in securities,double,as.double,is.double
F2D__2,I don’t need to invest,double,as.double,is.double
F2D__3,Don’t understand how to invest in securities,double,as.double,is.double
F2D__4,I don't have an ID/passport,double,as.double,is.double
F2D__5,I use my money for savings not investments,double,as.double,is.double
F2D__6,"I have better option to invest in, instead of securities",double,as.double,is.double
F2D__7,I &nbsp;lost money in the securities markets,double,as.double,is.double
F2D__8,I have never heard of securities markets,double,as.double,is.double
F2D__9,I don’t trust securities markets and stockbrokers,double,as.double,is.double
F2D__10,It’s too complicated,double,as.double,is.double
F2D__11,I do not like taking risk in the securities market,double,as.double,is.double
F2D__12,Other (SPECIFY),double,as.double,is.double
F2D__13,Too Young,numeric,as.numeric,is.numeric
F2D__14,Too old,numeric,as.numeric,is.numeric
F2D__98,Don’t know (DO NOT READ OUT)98,double,as.double,is.double
F2D__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
F2Di,Reason not investing in securities,character,as.character,is.character
G1A1__1,Bank transfer includes interent banking,double,as.double,is.double
G1A1__2,"The Post Office (e.g  PostPay, Money order)",double,as.double,is.double
G1A1__3,"A mobile money account (e.g  MPesa, Airtel Money)",double,as.double,is.double
G1A1__4,A mobile banking account,double,as.double,is.double
G1A1__5,"Pay bill  / Till number through mobile money (e.g  Lipa na MPesa, Pay Bill)",double,as.double,is.double
G1A1__6,Cash,double,as.double,is.double
G1A1__7,Cheque,double,as.double,is.double
G1A1__8,Credit or Debit card,double,as.double,is.double
G1A1__9,Hawala,double,as.double,is.double
G1A1__10,"Money transfer service (e.g  Western Union, Money Gram)",double,as.double,is.double
G1A1__11,"International mobile transfer (e.g  Wave, Transferwise)",double,as.double,is.double
G1A1__12,"Courier e.g  Nation, Securicor SpeedPost G4S",double,as.double,is.double
G1A1__13,Bus / Matatu,double,as.double,is.double
G1A1__14,In kind / noncash (goods &amp; services),double,as.double,is.double
G1A1__15,"Community currencies eg  Sarafu, Bangla Pesa",double,as.double,is.double
G1A1__16,"Cryptourrency e g bitcoin, Etherium,",double,as.double,is.double
G1A1__17,Other (SPECIFY)   ONLY MENTIONED IN G1A ),double,as.double,is.double
G1A1__18,Did not do this (DO NOT READ OUT,double,as.double,is.double
G1A1__98,Don't know(DO NOT READ OUT),double,as.double,is.double
G1A1__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
G1A1a,"Other way paid monthly bill, specify",character,as.character,is.character
G1B1,"Most frequent way paid monthly bills, including rent",factor,as.factor,is.factor
G1B1a,Other most frequent way specify,character,as.character,is.character
G1A2__1,Bank transfer includes interent banking,double,as.double,is.double
G1A2__2,"The Post Office (e.g  PostPay, Money order)",double,as.double,is.double
G1A2__3,"A mobile money account (e.g  MPesa, Airtel Money)",double,as.double,is.double
G1A2__4,A mobile banking account,double,as.double,is.double
